year,unit_id,name,unit_type,old_origin_year,new_origin_year,old_age_years,new_age_years,basis,confidence,predecessor_id,predecessor_name,predecessor_year,note
1989,adm_1989_146,Яшкинский район,район,,1926,,63,v122_name_parent_backfill_1989,high,adm_1979_158,Яшкинский,1979,"v122: автоматизированная ручная досверка преемственности после нормализации словаря АТД 1989; совпадение по очищенному названию и субъекту, свежий предшественник в 1970/1979."
1989,adm_1989_151,Упоровский район,район,1970,1926,19,63,v122_name_parent_backfill_1989,high,adm_1979_164,Упоровский,1979,"v122: автоматизированная ручная досверка преемственности после нормализации словаря АТД 1989; совпадение по очищенному названию и субъекту, свежий предшественник в 1970/1979."
1989,adm_1989_157,Яйский район,район,,1926,,63,v122_name_parent_backfill_1989,high,adm_1979_170,Яйский,1979,"v122: автоматизированная ручная досверка преемственности после нормализации словаря АТД 1989; совпадение по очищенному названию и субъекту, свежий предшественник в 1970/1979."
1989,adm_1989_158,Ижморский район,район,,1926,,63,v122_name_parent_backfill_1989,high,adm_1979_171,Ижморский,1979,"v122: автоматизированная ручная досверка преемственности после нормализации словаря АТД 1989; совпадение по очищенному названию и субъекту, свежий предшественник в 1970/1979."
1989,adm_1989_160,Седельниковский район,район,1970,1926,19,63,v122_name_parent_backfill_1989,high,adm_1979_200,Седельниковский,1979,"v122: автоматизированная ручная досверка преемственности после нормализации словаря АТД 1989; совпадение по очищенному названию и субъекту, свежий предшественник в 1970/1979."
1989,adm_1989_163,Колосовский район,район,1970,1926,19,63,v122_name_parent_backfill_1989,high,adm_1979_178,Колосовский,1979,"v122: автоматизированная ручная досверка преемственности после нормализации словаря АТД 1989; совпадение по очищенному названию и субъекту, свежий предшественник в 1970/1979."
1989,adm_1989_167,Исетский район,район,1970,1926,19,63,v122_name_parent_backfill_1989,high,adm_1979_182,Исетский,1979,"v122: автоматизированная ручная досверка преемственности после нормализации словаря АТД 1989; совпадение по очищенному названию и субъекту, свежий предшественник в 1970/1979."
1989,adm_1989_169,Сорокинский район,район,1970,1926,19,63,v122_name_parent_backfill_1989,high,adm_1979_186,Сорокинский,1979,"v122: автоматизированная ручная досверка преемственности после нормализации словаря АТД 1989; совпадение по очищенному названию и субъекту, свежий предшественник в 1970/1979."
1989,adm_1989_178,Викуловский район,район,1939,1926,50,63,v122_name_parent_backfill_1989,high,adm_1979_197,Викуловский,1979,"v122: автоматизированная ручная досверка преемственности после нормализации словаря АТД 1989; совпадение по очищенному названию и субъекту, свежий предшественник в 1970/1979."
1989,adm_1989_192+adm_1989_262,Тобольский район,район,1970,1939,19,50,v122_name_parent_backfill_1989,high,adm_1979_218,Тобольский,1979,"v122: автоматизированная ручная досверка преемственности после нормализации словаря АТД 1989; совпадение по очищенному названию и субъекту, свежий предшественник в 1970/1979."
1989,adm_1989_193+adm_1989_251,Колпашевский район,район,1970,1947,19,42,v122_name_parent_backfill_1989,high,adm_1979_219,Колпашевский,1979,"v122: автоматизированная ручная досверка преемственности после нормализации словаря АТД 1989; совпадение по очищенному названию и субъекту, свежий предшественник в 1970/1979."
1989,adm_1989_215,Тяжинский район,район,,1930,,59,v122_name_parent_backfill_1989,high,adm_1979_250,Тяжинский,1979,"v122: автоматизированная ручная досверка преемственности после нормализации словаря АТД 1989; совпадение по очищенному названию и субъекту, свежий предшественник в 1970/1979."
1989,adm_1989_217,Чаинский район,район,1970,1939,19,50,v122_name_parent_backfill_1989,high,adm_1979_205,Чаинский,1979,"v122: автоматизированная ручная досверка преемственности после нормализации словаря АТД 1989; совпадение по очищенному названию и субъекту, свежий предшественник в 1970/1979."
1989,adm_1989_245+adm_1989_261,Новосибирский район,район,1970,1947,19,42,v122_name_parent_backfill_1989,high,adm_1979_251,Новосибирский,1979,"v122: автоматизированная ручная досверка преемственности после нормализации словаря АТД 1989; совпадение по очищенному названию и субъекту, свежий предшественник в 1970/1979."
1989,adm_1989_25,Петропавловский район,район,1970,1959,19,30,v122_name_parent_backfill_1989,high,adm_1979_25,Петропавловский,1979,"v122: автоматизированная ручная досверка преемственности после нормализации словаря АТД 1989; совпадение по очищенному названию и субъекту, свежий предшественник в 1970/1979."
1989,adm_1989_3,Третьяковский район,район,1970,1926,19,63,v122_name_parent_backfill_1989,high,adm_1979_4,Третьяковский,1979,"v122: автоматизированная ручная досверка преемственности после нормализации словаря АТД 1989; совпадение по очищенному названию и субъекту, свежий предшественник в 1970/1979."
1989,adm_1989_31,Быстроистокский район,район,1970,1926,19,63,v122_name_parent_backfill_1989,high,adm_1979_32,Быстроистокский,1979,"v122: автоматизированная ручная досверка преемственности после нормализации словаря АТД 1989; совпадение по очищенному названию и субъекту, свежий предшественник в 1970/1979."
1989,adm_1989_59,Ельцовский район,район,1947,1939,42,50,v122_name_parent_backfill_1989,high,adm_1979_58,Ельцовский,1979,"v122: автоматизированная ручная досверка преемственности после нормализации словаря АТД 1989; совпадение по очищенному названию и субъекту, свежий предшественник в 1970/1979."
1989,adm_1989_61,Косихинский район,район,1970,1926,19,63,v122_name_parent_backfill_1989,high,adm_1979_59,Косихинский,1979,"v122: автоматизированная ручная досверка преемственности после нормализации словаря АТД 1989; совпадение по очищенному названию и субъекту, свежий предшественник в 1970/1979."
1989,adm_1989_76,Панкрушихинский район,район,1970,1926,19,63,v122_name_parent_backfill_1989,high,adm_1979_79,Панкрушихинский,1979,"v122: автоматизированная ручная досверка преемственности после нормализации словаря АТД 1989; совпадение по очищенному названию и субъекту, свежий предшественник в 1970/1979."
1989,adm_1989_83,Прокопьевский район,район,1970,1947,19,42,v122_name_parent_backfill_1989,high,adm_1979_86,Прокопьевский,1979,"v122: автоматизированная ручная досверка преемственности после нормализации словаря АТД 1989; совпадение по очищенному названию и субъекту, свежий предшественник в 1970/1979."
1989,adm_1989_92,Кочковский район,район,1970,1926,19,63,v122_name_parent_backfill_1989,high,adm_1979_94,Кочковский,1979,"v122: автоматизированная ручная досверка преемственности после нормализации словаря АТД 1989; совпадение по очищенному названию и субъекту, свежий предшественник в 1970/1979."
2021,adm_2021_106,Кочковский муниципальный район,муниципальный район,1970,1926,51,95,v122_inherit_from_1989_atd,high,adm_1989_92,Кочковский район,1989,v122: преемственность муниципальной единицы 2021 унаследована от одноимённого района слоя 1989; смена муниципального статуса не считается нулевым возрастом района.
2021,adm_2021_126,Ленинск-Кузнецкий муниципальный округ,муниципальный округ,2021,1947,0,74,v122_inherit_from_1989_atd,high,adm_1989_105,Ленинск-Кузнецкий район,1989,v122: преемственность муниципальной единицы 2021 унаследована от одноимённого района слоя 1989; смена муниципального статуса не считается нулевым возрастом района.
2021,adm_2021_13,Курьинский муниципальный район,муниципальный район,1970,1926,51,95,v122_inherit_from_1989_atd,high,adm_1989_13,Курьинский район,1989,v122: преемственность муниципальной единицы 2021 унаследована от одноимённого района слоя 1989; смена муниципального статуса не считается нулевым возрастом района.
2021,adm_2021_131,Чистоозерный муниципальный район,муниципальный район,1970,1926,51,95,v122_inherit_from_1989_atd,high,adm_1989_108,Чистоозерный район,1989,v122: преемственность муниципальной единицы 2021 унаследована от одноимённого района слоя 1989; смена муниципального статуса не считается нулевым возрастом района.
2021,adm_2021_132,Марьяновский муниципальный район,муниципальный район,1970,1939,51,82,v122_inherit_from_1989_atd,high,adm_1989_109,Марьяновский район,1989,v122: преемственность муниципальной единицы 2021 унаследована от одноимённого района слоя 1989; смена муниципального статуса не считается нулевым возрастом района.
2021,adm_2021_139,Промышленновский муниципальный округ,муниципальный округ,2021,1939,0,82,v122_inherit_from_1989_atd,high,adm_1989_111,Промышленновский район,1989,v122: преемственность муниципальной единицы 2021 унаследована от одноимённого района слоя 1989; смена муниципального статуса не считается нулевым возрастом района.
2021,adm_2021_143,Кормиловский муниципальный район,муниципальный район,1970,1926,51,95,v122_inherit_from_1989_atd,high,adm_1989_112,Кормиловский район,1989,v122: преемственность муниципальной единицы 2021 унаследована от одноимённого района слоя 1989; смена муниципального статуса не считается нулевым возрастом района.
2021,adm_2021_149,Новосибирский муниципальный район,муниципальный район,1970,1947,51,74,v122_inherit_from_1989_atd,high,adm_1989_245+adm_1989_261,Новосибирский район,1989,v122: преемственность муниципальной единицы 2021 унаследована от одноимённого района слоя 1989; смена муниципального статуса не считается нулевым возрастом района.
2021,adm_2021_150,Крапивинский муниципальный округ,муниципальный округ,2021,1926,0,95,v122_inherit_from_1989_atd,high,adm_1989_118,Крапивинский район,1989,v122: преемственность муниципальной единицы 2021 унаследована от одноимённого района слоя 1989; смена муниципального статуса не считается нулевым возрастом района.
2021,adm_2021_159,Мошковский муниципальный район,муниципальный район,1979,1930,42,91,v122_inherit_from_1989_atd,high,adm_1989_125,Мошковский район,1989,v122: преемственность муниципальной единицы 2021 унаследована от одноимённого района слоя 1989; смена муниципального статуса не считается нулевым возрастом района.
2021,adm_2021_163,Топкинский муниципальный округ,муниципальный округ,2021,1926,0,95,v122_inherit_from_1989_atd,high,adm_1989_128+adm_1989_260,Топкинский район,1989,v122: преемственность муниципальной единицы 2021 унаследована от одноимённого района слоя 1989; смена муниципального статуса не считается нулевым возрастом района.
2021,adm_2021_173,Кемеровский муниципальный округ,муниципальный округ,2021,1947,0,74,v122_inherit_from_1989_atd,high,adm_1989_133,Кемеровский район,1989,v122: преемственность муниципальной единицы 2021 унаследована от одноимённого района слоя 1989; смена муниципального статуса не считается нулевым возрастом района.
2021,adm_2021_183,Болотнинский муниципальный район,муниципальный район,1930,1926,91,95,v122_inherit_from_1989_atd,high,adm_1989_138,Болотнинский район,1989,v122: преемственность муниципальной единицы 2021 унаследована от одноимённого района слоя 1989; смена муниципального статуса не считается нулевым возрастом района.
2021,adm_2021_186,Саргатский муниципальный район,муниципальный район,1970,1926,51,95,v122_inherit_from_1989_atd,high,adm_1989_140,Саргатский район,1989,v122: преемственность муниципальной единицы 2021 унаследована от одноимённого района слоя 1989; смена муниципального статуса не считается нулевым возрастом района.
2021,adm_2021_188,Чебулинский муниципальный округ,муниципальный округ,2021,1926,0,95,v122_inherit_from_1989_atd,high,adm_1989_141,Чебулинский район,1989,v122: преемственность муниципальной единицы 2021 унаследована от одноимённого района слоя 1989; смена муниципального статуса не считается нулевым возрастом района.
2021,adm_2021_189,Юргинский муниципальный округ,муниципальный округ,2021,1926,0,95,v122_inherit_from_1989_atd,high,adm_1989_142,Юргинский район,1989,v122: преемственность муниципальной единицы 2021 унаследована от одноимённого района слоя 1989; смена муниципального статуса не считается нулевым возрастом района.
2021,adm_2021_196,Яшкинский муниципальный округ,муниципальный округ,2021,1926,0,95,v122_inherit_from_1989_atd,high,adm_1989_146,Яшкинский район,1989,v122: преемственность муниципальной единицы 2021 унаследована от одноимённого района слоя 1989; смена муниципального статуса не считается нулевым возрастом района.
2021,adm_2021_203,Тяжинский муниципальный округ,муниципальный округ,2021,1930,0,91,v122_inherit_from_1989_atd,high,adm_1989_215,Тяжинский район,1989,v122: преемственность муниципальной единицы 2021 унаследована от одноимённого района слоя 1989; смена муниципального статуса не считается нулевым возрастом района.
2021,adm_2021_205,Упоровский муниципальный район,муниципальный район,1970,1926,51,95,v122_inherit_from_1989_atd,high,adm_1989_151,Упоровский район,1989,v122: преемственность муниципальной единицы 2021 унаследована от одноимённого района слоя 1989; смена муниципального статуса не считается нулевым возрастом района.
2021,adm_2021_214,Яйский муниципальный округ,муниципальный округ,2021,1926,0,95,v122_inherit_from_1989_atd,high,adm_1989_157,Яйский район,1989,v122: преемственность муниципальной единицы 2021 унаследована от одноимённого района слоя 1989; смена муниципального статуса не считается нулевым возрастом района.
2021,adm_2021_216,Ижморский муниципальный округ,муниципальный округ,2021,1926,0,95,v122_inherit_from_1989_atd,high,adm_1989_158,Ижморский район,1989,v122: преемственность муниципальной единицы 2021 унаследована от одноимённого района слоя 1989; смена муниципального статуса не считается нулевым возрастом района.
2021,adm_2021_225,Исетский муниципальный район,муниципальный район,1970,1926,51,95,v122_inherit_from_1989_atd,high,adm_1989_167,Исетский район,1989,v122: преемственность муниципальной единицы 2021 унаследована от одноимённого района слоя 1989; смена муниципального статуса не считается нулевым возрастом района.
2021,adm_2021_230,Колосовский муниципальный район,муниципальный район,1970,1926,51,95,v122_inherit_from_1989_atd,high,adm_1989_163,Колосовский район,1989,v122: преемственность муниципальной единицы 2021 унаследована от одноимённого района слоя 1989; смена муниципального статуса не считается нулевым возрастом района.
2021,adm_2021_231,Сорокинский муниципальный район,муниципальный район,1970,1926,51,95,v122_inherit_from_1989_atd,high,adm_1989_169,Сорокинский район,1989,v122: преемственность муниципальной единицы 2021 унаследована от одноимённого района слоя 1989; смена муниципального статуса не считается нулевым возрастом района.
2021,adm_2021_242,Викуловский муниципальный район,муниципальный район,1939,1926,82,95,v122_inherit_from_1989_atd,high,adm_1989_178,Викуловский район,1989,v122: преемственность муниципальной единицы 2021 унаследована от одноимённого района слоя 1989; смена муниципального статуса не считается нулевым возрастом района.
2021,adm_2021_243,Седельниковский муниципальный район,муниципальный район,1970,1926,51,95,v122_inherit_from_1989_atd,high,adm_1989_160,Седельниковский район,1989,v122: преемственность муниципальной единицы 2021 унаследована от одноимённого района слоя 1989; смена муниципального статуса не считается нулевым возрастом района.
2021,adm_2021_252+adm_2021_586,Чаинский муниципальный район,муниципальный район,1970,1939,51,82,v122_inherit_from_1989_atd,high,adm_1989_217,Чаинский район,1989,v122: преемственность муниципальной единицы 2021 унаследована от одноимённого района слоя 1989; смена муниципального статуса не считается нулевым возрастом района.
2021,adm_2021_262,Тобольский муниципальный район,муниципальный район,1970,1939,51,82,v122_inherit_from_1989_atd,high,adm_1989_192+adm_1989_262,Тобольский район,1989,v122: преемственность муниципальной единицы 2021 унаследована от одноимённого района слоя 1989; смена муниципального статуса не считается нулевым возрастом района.
2021,adm_2021_263,Колпашевский муниципальный район,муниципальный район,1970,1947,51,74,v122_inherit_from_1989_atd,high,adm_1989_193+adm_1989_251,Колпашевский район,1989,v122: преемственность муниципальной единицы 2021 унаследована от одноимённого района слоя 1989; смена муниципального статуса не считается нулевым возрастом района.
2021,adm_2021_27,Петропавловский муниципальный район,муниципальный район,1970,1959,51,62,v122_inherit_from_1989_atd,high,adm_1989_25,Петропавловский район,1989,v122: преемственность муниципальной единицы 2021 унаследована от одноимённого района слоя 1989; смена муниципального статуса не считается нулевым возрастом района.
2021,adm_2021_3,Третьяковский муниципальный район,муниципальный район,1970,1926,51,95,v122_inherit_from_1989_atd,high,adm_1989_3,Третьяковский район,1989,v122: преемственность муниципальной единицы 2021 унаследована от одноимённого района слоя 1989; смена муниципального статуса не считается нулевым возрастом района.
2021,adm_2021_34,Быстроистокский муниципальный район,муниципальный район,1970,1926,51,95,v122_inherit_from_1989_atd,high,adm_1989_31,Быстроистокский район,1989,v122: преемственность муниципальной единицы 2021 унаследована от одноимённого района слоя 1989; смена муниципального статуса не считается нулевым возрастом района.
2021,adm_2021_66,Ельцовский муниципальный район,муниципальный район,1947,1939,74,82,v122_inherit_from_1989_atd,high,adm_1989_59,Ельцовский район,1989,v122: преемственность муниципальной единицы 2021 унаследована от одноимённого района слоя 1989; смена муниципального статуса не считается нулевым возрастом района.
2021,adm_2021_69,Косихинский муниципальный район,муниципальный район,1970,1926,51,95,v122_inherit_from_1989_atd,high,adm_1989_61,Косихинский район,1989,v122: преемственность муниципальной единицы 2021 унаследована от одноимённого района слоя 1989; смена муниципального статуса не считается нулевым возрастом района.
2021,adm_2021_86,Панкрушихинский муниципальный район,муниципальный район,1970,1926,51,95,v122_inherit_from_1989_atd,high,adm_1989_76,Панкрушихинский район,1989,v122: преемственность муниципальной единицы 2021 унаследована от одноимённого района слоя 1989; смена муниципального статуса не считается нулевым возрастом района.
2021,adm_2021_95,Прокопьевский муниципальный округ,муниципальный округ,1970,1947,51,74,v122_inherit_from_1989_atd,high,adm_1989_83,Прокопьевский район,1989,v122: преемственность муниципальной единицы 2021 унаследована от одноимённого района слоя 1989; смена муниципального статуса не считается нулевым возрастом района.
1989,adm_1989_265+adm_1989_93,Гурьевский район,район,,1939,,50,manual_restored_district_gap,medium,adm_1959_97,Гурьевский район *),1959,v122: Гурьевский район существовал ранее и восстановлен до переписи 1989; межслойный разрыв 1963–1987 не должен отображаться как отсутствие возраста.
2021,adm_2021_108,Гурьевский муниципальный округ,муниципальный округ,2021,1939,0,82,manual_restored_district_gap,medium,adm_1989_265+adm_1989_93,Гурьевский район,1989,v122: муниципальный округ 2021 унаследован от восстановленного Гурьевского района; смена статуса не считается нулевым возрастом.
1989,adm_1989_242,Осинниковский район,район,1989,1987,0,2,manual_restored_actual_year,medium,,"Осинниковский район, восстановление перед переписью 1989",1987,"v122: Осинниковский район был восстановлен перед переписью 1989; задан фактический межслойный год 1987, чтобы не показывать его как созданный в 1989."
